log_date,incremental_value
2022-10-02T18:50:34,02-10-2022
2022-10-02T18:52:20,02-10-2022
2022-10-04T09:58:55,04-10-2022
2022-10-04T10:02:12,04-10-2022
2022-10-04T10:12:00,04-10-2022
2022-10-04T10:24:54,04-10-2022
2022-10-04T11:09:47,04-10-2022
2022-10-04T11:14:44,04-10-2022
2022-10-04T11:17:12,04-10-2022
2022-10-04T11:17:53,04-10-2022
2022-10-04T11:19:59,04-10-2022
2022-10-04T11:27:13,04-10-2022
2022-10-04T11:32:16,04-10-2022
2022-10-04T11:51:46,04-10-2022
2022-10-04T13:55:14,04-10-2022
2022-10-04T13:56:05,04-10-2022
2022-10-04T14:46:41,04-10-2022
2022-10-04T15:06:47,04-10-2022
2022-10-04T15:12:09,04-10-2022
2022-10-04T15:15:49,04-10-2022
2022-10-04T15:30:02,04-10-2022
2022-10-04T16:24:44,04-10-2022
2022-10-04T16:26:14,04-10-2022
2022-10-04T21:09:58,04-10-2022
2022-10-04T21:10:22,04-10-2022
2022-10-05T18:52:40,05-10-2022
2022-10-10T17:27:09,10-10-2022
2022-10-10T17:29:36,10-10-2022
